node	isRegulator	AnimalTFDB	RegNetwork
GNAI3	-	-	-
BDKRB2	-	-	-
ADCY4	-	-	-
ADCY9	-	-	-
ADCY1	-	-	-
ADCY3	-	-	-
ADCY2	-	-	-
EDNRB	-	-	-
ADCY8	-	-	-
DRD3	-	-	-
DRD4	-	-	-
CCR1	-	-	-
CXCR2	-	-	-
ADRA2A	-	-	-
CCR3	-	-	-
CHRM4	-	-	-
ADORA1	-	-	-
BDKRB1	-	-	-
CCR2	-	-	-
CXCR5	-	-	-
CXCR3	-	-	-
FPR1	-	-	-
CXCR4	-	-	-
APLNR	-	-	-
GALR2	-	-	-
CNR1	-	-	-
ADRA2C	-	-	-
C5AR1	-	-	-
CXCR6	-	-	-
CCR4	-	-	-
FPR2	-	-	-
GALR1	-	-	-
AGT	-	-	-
CASR	-	-	-
CNR2	-	-	-
CCR1L1	-	-	-
ADRA2B	-	-	-
CXCL12	-	-	-
DRD2	-	-	-
AGTR2	-	-	-
FPR3	-	-	-
ADCY6	-	-	-
ADCY7	-	-	-
CCR5	-	-	-
ADCY5	-	-	-
CCR9	-	-	-
CHRM2	-	-	-
BTG2	+	-	+
CDC45	-	-	-
CCNA2	+	TcF	-
CCNA1	-	-	-
CCNE1	+	TcF	-
ANKRD32	+	-	+
CAV1	-	-	-
CAV2	-	-	-
COX4I2	-	-	-
COX5A	-	-	-
ATP5O	-	-	-
COX4I1	-	-	-
ATP5H	-	-	-
PAX3	+	TF	+
NKX2-5	+	TF	+
BMP4	-	-	-
CNTN1	-	-	-
NGFR	-	-	-
GRB2	-	-	-
NFKBIA	+	TcF	+
MAGED1	+	TcF	-
NFKB1	+	TF	+
IRAK1	-	-	-
IKBKB	+	-	+
MYD88	+	-	+
MAG	-	-	-
NDN	+	-	+
BDNF	-	-	-
LINGO1	-	-	-
ARHGDIA	-	-	-
ADAM17	-	-	-
CASP3	-	-	-
NDNL2	+	-	+
NGF	-	-	-
MAPK8	+	-	+
TMED5	-	-	-
SFRP4	-	-	-
WNT3	-	-	-
CTNNB1	+	TcF	+
WNT2	-	-	-
SFRP5	-	-	-
WIF1	-	-	-
FZD6	-	-	-
CDX1	+	TF	+
DKK1	-	-	-
WNT2B	-	-	-
SFRP2	-	-	-
DVL1	-	-	-
LRP6	-	-	-
SFRP1	-	-	-
FZD8	-	-	-
GATA6	+	TF	+
FZD7	-	-	-
ROR1	-	-	-
FZD4	-	-	-
FZD9	-	-	-
FZD1	-	-	-
GPC3	-	-	-
FZD5	-	-	-
WLS	-	-	-
PORCN	-	-	-
FZD2	-	-	-
FZD10	-	-	-
FZD3	-	-	-
RYK	-	-	-
ACTR2	-	-	-
ACTG1	-	-	-
ABL1	+	TcF	+
ACTB	-	-	-
ABI1	-	-	-
GNA12	-	-	-
EDNRA	-	-	-
ARHGEF11	-	-	-
F2R	-	-	-
ARHGEF12	-	-	-
ICAM4	-	-	-
ICAM2	-	-	-
ITGAD	-	-	-
ITGAX	-	-	-
CD14	-	-	-
ICAM1	-	-	-
ITGAM	-	-	-
HSP90AA1	-	-	-
HSP90AB1	-	-	-
NOP58	-	-	-
PIH1D2	-	-	-
NOP56	-	-	-
SDHB	-	-	-
SDHD	-	-	-
SDHA	-	-	-
CYC1	-	-	-
FH1	-	-	-
COX6A1	-	-	-
SDHC	-	-	-
FGF23	-	-	-
FGF18	-	-	-
FGF17	-	-	-
FGF6	-	-	-
FGF15	-	-	-
FGF2	-	-	-
CCND2	-	-	-
CCL2	-	-	-
CCL12	-	-	-
NCS1	-	-	-
NALCN	-	-	-
TH	-	-	-
DDC	-	-	-
AKT1	+	-	+
IGF1R	-	-	-
EGFR	-	-	-
INS2	-	-	-
CPE	-	-	-
INS1	-	-	-
GHRL	-	-	-
DOK1	-	-	-
GRB10	-	-	-
GCG	-	-	-
SCNN1G	-	-	-
SCNN1B	-	-	-
NEDD4	-	-	-
SCNN1A	-	-	-
RPS27A	-	-	-
NEDD4L	-	-	-
LHX2	+	TF	+
LFNG	-	-	-
LDB2	+	-	+
BARHL2	+	TF	-
LDB1	+	TcF	+
AMPD3	-	-	-
GMPR	-	-	-
AMPD1	-	-	-
AMPD2	-	-	-
MNT	+	TF	+
ITGB2	-	-	-
CRK	+	TcF	-
ITGA5	-	-	-
ITGAV	-	-	-
ILK	-	-	-
FGG	-	-	-
FGB	-	-	-
F11R	-	-	-
ITGA7	-	-	-
ITGA2B	-	-	-
ITGA4	-	-	-
CYTH1	-	-	-
ITGAL	-	-	-
FGA	-	-	-
LPCAT3	-	-	-
PEMT	-	-	-
LCAT	-	-	-
MBOAT1	-	-	-
CEPT1	-	-	-
MBOAT2	-	-	-
CHPT1	-	-	-
CDH1	-	-	-
ADAM15	-	-	-
CDC42	-	-	-
ADAM10	-	-	-
ARVCF	-	-	-
CDC27	-	-	-
CBLL1	-	-	-
CDH4	-	-	-
CDH11	-	-	-
